HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
France,Mexico,1930,4,1,5
Uruguay,Argentina,1930,4,2,6
Uruguay,Yugoslavia,1930,6,1,7
Argentina,United States,1930,6,1,7
Paraguay,Belgium,1930,1,0,1
United States,Paraguay,1930,3,0,3
Uruguay,Romania,1930,4,0,4
Uruguay,Peru,1930,1,0,1
Romania,Peru,1930,3,1,4
United States,Belgium,1930,3,0,3
Yugoslavia,Bolivia,1930,4,0,4
Yugoslavia,Brazil,1930,2,1,3
Argentina,Chile,1930,3,1,4
Argentina,Mexico,1930,6,3,9
Chile,France,1930,1,0,1
Chile,Mexico,1930,3,0,3
Argentina,France,1930,1,0,1
Brazil,Bolivia,1930,4,0,4
Italy,Spain,1934,1,1,2
Italy,Czechoslovakia,1934,2,1,3
Germany,Austria,1934,3,2,5
Italy,Austria,1934,1,0,1
Italy,Spain,1934,1,0,1
Czechoslovakia,Switzerland,1934,3,2,5
Germany,Sweden,1934,2,1,3
Austria,Hungary,1934,2,1,3
Czechoslovakia,Germany,1934,3,1,4
Austria,France,1934,3,2,5
Sweden,Argentina,1934,3,2,5
Czechoslovakia,Romania,1934,2,1,3
Italy,United States,1934,7,1,8
Switzerland,Netherlands,1934,3,2,5
Hungary,Egypt,1934,4,2,6
Spain,Brazil,1934,3,1,4
Germany,Belgium,1934,5,2,7
Sweden,Cuba,1938,8,0,8
Italy,France,1938,3,1,4
Brazil,Czechoslovakia,1938,1,1,2
Brazil,Sweden,1938,4,2,6
Hungary,Sweden,1938,5,1,6
Italy,Brazil,1938,2,1,3
Italy,Hungary,1938,4,2,6
Brazil,Czechoslovakia,1938,2,1,3
Cuba,Romania,1938,2,1,3
Hungary,Switzerland,1938,2,0,2
Czechoslovakia,Netherlands,1938,3,0,3
Brazil,Poland,1938,6,5,11
Italy,Norway,1938,2,1,3
France,Belgium,1938,3,1,4
Cuba,Romania,1938,3,3,6
Hungary,Dutch East Indies,1938,6,0,6
Switzerland,Germany,1938,1,1,2
Switzerland,Germany,1938,4,2,6
Sweden,Paraguay,1950,2,2,4
Italy,Paraguay,1950,2,0,2
Uruguay,Bolivia,1950,8,0,8
Uruguay,Spain,1950,2,2,4
Uruguay,Brazil,1950,2,1,3
Brazil,Spain,1950,6,1,7
Uruguay,Sweden,1950,3,2,5
Sweden,Spain,1950,3,1,4
Sweden,Italy,1950,3,2,5
Brazil,Sweden,1950,7,1,8
Chile,United States,1950,5,2,7
Switzerland,Mexico,1950,2,1,3
United States,England,1950,1,0,1
Spain,Chile,1950,2,0,2
Spain,United States,1950,3,1,4
England,Chile,1950,2,0,2
Brazil,Yugoslavia,1950,2,0,2
Yugoslavia,Mexico,1950,4,1,5
Brazil,Switzerland,1950,2,2,4
Yugoslavia,Switzerland,1950,3,0,3
Brazil,Mexico,1950,4,0,4
Spain,England,1950,1,0,1
Italy,Belgium,1954,4,1,5
Switzerland,Italy,1954,4,1,5
Austria,Switzerland,1954,7,5,12
Uruguay,England,1954,4,2,6
Austria,Uruguay,1954,3,1,4
Hungary,Brazil,1954,4,2,6
West Germany,Austria,1954,6,1,7
Hungary,Uruguay,1954,4,2,6
England,Belgium,1954,4,4,8
West Germany,Hungary,1954,3,2,5
West Germany,Yugoslavia,1954,2,0,2
Switzerland,Italy,1954,2,1,3
England,Switzerland,1954,2,0,2
Uruguay,Scotland,1954,7,0,7
Austria,Czechoslovakia,1954,5,0,5
Brazil,Mexico,1954,5,0,5
Yugoslavia,France,1954,1,0,1
France,Mexico,1954,3,2,5
West Germany,Turkey,1954,4,1,5
Brazil,Yugoslavia,1954,1,1,2
Hungary,West Germany,1954,8,3,11
Turkey,South Korea,1954,7,0,7
West Germany,Turkey,1954,7,2,9
Uruguay,Czechoslovakia,1954,2,0,2
Austria,Scotland,1954,1,0,1
Hungary,South Korea,1954,9,0,9
England,Austria,1958,2,2,4
Wales,Hungary,1958,2,1,3
Brazil,Austria,1958,3,0,3
Soviet Union,England,1958,2,2,4
Brazil,England,1958,0,0,0
Soviet Union,Austria,1958,2,0,2
Brazil,Soviet Union,1958,2,0,2
France,West Germany,1958,6,3,9
France,Northern Ireland,1958,4,0,4
Sweden,Soviet Union,1958,2,0,2
West Germany,Yugoslavia,1958,1,0,1
Brazil,France,1958,5,2,7
Sweden,West Germany,1958,3,1,4
Brazil,Sweden,1958,5,2,7
Hungary,Mexico,1958,4,0,4
Brazil,Wales,1958,1,0,1
Sweden,Wales,1958,0,0,0
Soviet Union,England,1958,1,0,1
Mexico,Wales,1958,1,1,2
Northern Ireland,Czechoslovakia,1958,1,0,1
West Germany,Czechoslovakia,1958,2,2,4
Argentina,Northern Ireland,1958,3,1,4
West Germany,Northern Ireland,1958,2,2,4
Czechoslovakia,Argentina,1958,6,1,7
Northern Ireland,Czechoslovakia,1958,2,1,3
France,Paraguay,1958,7,3,10
Argentina,West Germany,1958,1,3,4
Yugoslavia,Scotland,1958,1,1,2
Yugoslavia,France,1958,3,2,5
Paraguay,Scotland,1958,3,2,5
France,Scotland,1958,2,1,3
Paraguay,Yugoslavia,1958,3,3,6
Sweden,Mexico,1958,3,0,3
Hungary,Wales,1958,1,1,2
Sweden,Hungary,1958,2,1,3
Argentina,Bulgaria,1962,1,0,1
Hungary,England,1962,2,1,3
England,Argentina,1962,3,1,4
Hungary,Bulgaria,1962,6,1,7
Hungary,Argentina,1962,0,0,0
England,Bulgaria,1962,0,0,0
Chile,Soviet Union,1962,2,1,3
Czechoslovakia,Yugoslavia,1962,3,1,4
Brazil,England,1962,3,1,4
Yugoslavia,West Germany,1962,1,0,1
Brazil,Chile,1962,4,2,6
Chile,Yugoslavia,1962,1,0,1
Brazil,Czechoslovakia,1962,3,1,4
Mexico,Czechoslovakia,1962,3,1,4
Czechoslovakia,Hungary,1962,1,0,1
Brazil,Spain,1962,2,1,3
Brazil,Czechoslovakia,1962,0,0,0
Uruguay,Colombia,1962,2,1,3
Spain,Mexico,1962,1,0,1
Soviet Union,Yugoslavia,1962,2,0,2
Yugoslavia,Uruguay,1962,3,1,4
Soviet Union,Colombia,1962,4,4,8
Yugoslavia,Colombia,1962,5,0,5
Chile,Switzerland,1962,3,1,4
Soviet Union,Uruguay,1962,2,1,3
Chile,Italy,1962,2,0,2
West Germany,Switzerland,1962,2,1,3
West Germany,Chile,1962,2,0,2
Italy,Switzerland,1962,3,0,3
Brazil,Mexico,1962,2,0,2
Czechoslovakia,Spain,1962,1,0,1
West Germany,Italy,1962,0,0,0
North Korea,Italy,1966,1,0,1
Soviet Union,North Korea,1966,3,0,3
England,West Germany,1966,4,2,6
Chile,North Korea,1966,1,1,2
Soviet Union,Italy,1966,1,0,1
Soviet Union,Chile,1966,2,1,3
Hungary,Bulgaria,1966,3,1,4
West Germany,Uruguay,1966,4,0,4
Soviet Union,Hungary,1966,2,1,3
Portugal,North Korea,1966,5,3,8
West Germany,Soviet Union,1966,2,1,3
England,Portugal,1966,2,1,3
Portugal,Soviet Union,1966,2,1,3
England,Argentina,1966,1,0,1
Portugal,Brazil,1966,3,1,4
Italy,Chile,1966,2,0,2
Hungary,Brazil,1966,3,1,4
Portugal,Bulgaria,1966,3,0,3
England,Uruguay,1966,0,0,0
France,Mexico,1966,1,1,2
Uruguay,France,1966,2,1,3
England,Mexico,1966,2,0,2
Mexico,Uruguay,1966,0,0,0
West Germany,Switzerland,1966,5,0,5
England,France,1966,2,0,2
Spain,Switzerland,1966,2,1,3
Argentina,West Germany,1966,0,0,0
Argentina,Switzerland,1966,2,0,2
West Germany,Spain,1966,2,1,3
Brazil,Bulgaria,1966,2,0,2
Portugal,Hungary,1966,3,1,4
Argentina,Spain,1966,2,1,3
Italy,West Germany,1970,4,3,7
Brazil,Italy,1970,4,1,5
Uruguay,West Germany,1970,0,1,1
Uruguay,Brazil,1970,1,3,4
West Germany,England,1970,3,2,5
Brazil,Peru,1970,4,2,6
Italy,Mexico,1970,4,1,5
Soviet Union,Uruguay,1970,0,1,1
Brazil,Poland,1974,0,1,1
Netherlands,West Germany,1974,1,2,3
Brazil,Italy,1978,2,1,3
Argentina,Netherlands,1978,3,1,4
Italy,West Germany,1982,3,1,4
Poland,France,1982,3,2,5
Poland,Italy,1982,0,2,2
West Germany,France,1982,3,3,6
West Germany,Mexico,1986,0,0,0
Belgium,France,1986,2,4,6
Argentina,Belgium,1986,2,0,2
France,West Germany,1986,0,2,2
Argentina,West Germany,1986,3,2,5
Spain,Belgium,1986,1,1,2
Argentina,England,1986,2,1,3
Brazil,France,1986,1,1,2
Argentina,Uruguay,1986,1,0,1
England,Paraguay,1986,3,0,3
Morocco,West Germany,1986,0,1,1
Italy,France,1986,0,2,2
Brazil,Poland,1986,4,0,4
Soviet Union,Belgium,1986,3,4,7
Mexico,Bulgaria,1986,2,0,2
Denmark,Spain,1986,1,5,6
West Germany,Argentina,1990,1,0,1
Italy,England,1990,2,1,3
West Germany,England,1990,1,1,2
Argentina,Italy,1990,1,1,2
Cameroon,England,1990,2,3,5
Czechoslovakia,West Germany,1990,0,1,1
Republic of Ireland,Italy,1990,0,1,1
Argentina,Yugoslavia,1990,0,0,0
Spain,Yugoslavia,1990,1,2,3
Italy,Uruguay,1990,2,0,2
Republic of Ireland,Romania,1990,0,0,0
West Germany,Netherlands,1990,2,1,3
Brazil,Argentina,1990,0,1,1
Czechoslovakia,Costa Rica,1990,4,1,5
Cameroon,Colombia,1990,2,1,3
England,Belgium,1990,1,0,1
Netherlands,Brazil,1994,2,3,5
Brazil,Italy,1994,0,0,0
Sweden,Bulgaria,1994,4,0,4
Sweden,Brazil,1994,0,1,1
Bulgaria,Italy,1994,1,2,3
Romania,Sweden,1994,2,2,4
Bulgaria,Germany,1994,2,1,3
Italy,Spain,1994,2,1,3
Romania,Argentina,1994,3,2,5
Nigeria,Italy,1994,1,2,3
Brazil,United States,1994,1,0,1
Netherlands,Republic of Ireland,1994,2,0,2
Mexico,Bulgaria,1994,1,1,2
Saudi Arabia,Sweden,1994,1,3,4
Spain,Switzerland,1994,3,0,3
Germany,Belgium,1994,3,2,5
Brazil,France,1998,0,3,3
Netherlands,Croatia,1998,1,2,3
France,Croatia,1998,2,1,3
Brazil,Netherlands,1998,1,1,2
Germany,Croatia,1998,0,3,3
Netherlands,Argentina,1998,2,1,3
Brazil,Denmark,1998,3,2,5
Italy,France,1998,0,0,0
Romania,Croatia,1998,0,1,1
Netherlands,FR Yugoslavia,1998,2,1,3
Germany,Mexico,1998,2,1,3
Nigeria,Denmark,1998,1,4,5
France,Paraguay,1998,1,0,1
Brazil,Chile,1998,4,1,5
Italy,Norway,1998,1,0,1
Argentina,England,1998,2,2,4
Germany,United States,2002,1,0,1
Germany,Brazil,2002,0,2,2
South Korea,Turkey,2002,2,3,5
Brazil,Turkey,2002,1,0,1
Germany,South Korea,2002,1,0,1
Senegal,Turkey,2002,0,1,1
Spain,South Korea,2002,0,0,0
England,Brazil,2002,1,2,3
Germany,Paraguay,2002,1,0,1
Japan,Turkey,2002,0,1,1
Brazil,Belgium,2002,2,0,2
Mexico,United States,2002,0,2,2
Spain,Republic of Ireland,2002,1,1,2
Sweden,Senegal,2002,1,2,3
Denmark,England,2002,0,3,3
South Korea,Italy,2002,2,1,3
Italy,Ukraine,2006,3,0,3
Italy,France,2006,1,1,2
Germany,Portugal,2006,3,1,4
Portugal,France,2006,0,1,1
Germany,Italy,2006,0,2,2
Brazil,France,2006,0,1,1
England,Portugal,2006,0,0,0
Germany,Argentina,2006,1,1,2
Italy,Australia,2006,1,0,1
Brazil,Ghana,2006,3,0,3
Switzerland,Ukraine,2006,0,0,0
Spain,France,2006,1,3,4
Portugal,Netherlands,2006,1,0,1
England,Ecuador,2006,1,0,1
Argentina,Mexico,2006,2,1,3
Germany,Sweden,2006,2,0,2
Chile,Spain,2010,1,2,3
Spain,Honduras,2010,2,0,2
Chile,Switzerland,2010,1,0,1
Spain,Switzerland,2010,0,1,1
Honduras,Chile,2010,0,1,1
North Korea,Ivory Coast,2010,0,3,3
Brazil,Ivory Coast,2010,3,1,4
Portugal,North Korea,2010,7,0,7
Switzerland,Honduras,2010,0,0,0
Brazil,North Korea,2010,2,1,3
Ivory Coast,Portugal,2010,0,0,0
Paraguay,New Zealand,2010,0,0,0
Slovakia,Italy,2010,3,2,5
Portugal,Brazil,2010,0,0,0
Uruguay,South Korea,2010,2,1,3
Argentina,Mexico,2010,3,1,4
Germany,England,2010,4,1,5
Netherlands,Slovakia,2010,2,1,3
Brazil,Chile,2010,3,0,3
Paraguay,Japan,2010,0,0,0
Spain,Portugal,2010,1,0,1
Netherlands,Brazil,2010,2,1,3
Uruguay,Ghana,2010,1,1,2
Argentina,Germany,2010,0,4,4
Paraguay,Spain,2010,0,1,1
Uruguay,Netherlands,2010,2,3,5
Germany,Spain,2010,0,1,1
Uruguay,Germany,2010,2,3,5
Netherlands,Spain,2010,0,1,1
Italy,New Zealand,2010,1,1,2
United States,Ghana,2010,1,2,3
Slovakia,Paraguay,2010,0,2,2
Germany,Serbia,2010,0,1,1
Italy,Paraguay,2010,1,1,2
New Zealand,Slovakia,2010,1,1,2
South Africa,Mexico,2010,1,1,2
Uruguay,France,2010,0,0,0
South Africa,Uruguay,2010,0,3,3
France,Mexico,2010,0,2,2
Mexico,Uruguay,2010,0,1,1
France,South Africa,2010,1,2,3
South Korea,Greece,2010,2,0,2
Argentina,Nigeria,2010,1,0,1
Greece,Nigeria,2010,2,1,3
Nigeria,South Korea,2010,2,2,4
Greece,Argentina,2010,0,2,2
England,United States,2010,1,1,2
Algeria,Slovenia,2010,0,1,1
Slovenia,United States,2010,2,2,4
Argentina,South Korea,2010,4,1,5
Slovenia,England,2010,0,1,1
England,Algeria,2010,0,0,0
Denmark,Japan,2010,1,3,4
Cameroon,Denmark,2010,1,2,3
Netherlands,Japan,2010,1,0,1
Japan,Cameroon,2010,1,0,1
Netherlands,Denmark,2010,2,0,2
Australia,Serbia,2010,2,1,3
Cameroon,Netherlands,2010,1,2,3
Ghana,Australia,2010,1,1,2
Germany,Australia,2010,4,0,4
Serbia,Ghana,2010,0,1,1
United States,Algeria,2010,1,0,1
